Fecha,Material,Descripcion,KG MERMADOS,PROCESO
10/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,8.9,DESBARATADO DE CANALES
10/03/2025,134203I1,CUARTEO PALETA CON MANITA,52.881,DESBARATADO DE CANALES
10/03/2025,134367I1,CUARTEO PERNIL CON PATITA,49.838,DESBARATADO DE CANALES
10/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,4.234,VALOR AGREGADO
10/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,34.714,VALOR AGREGADO
11/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,10.3,DESBARATADO DE CANALES
11/03/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,12.7,REBANADOS
11/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,11.2,REBANADOS
11/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,24.6,REBANADOS
11/03/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,4.4,REBANADOS
11/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,17,REBANADOS
11/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,86.7,REBANADOS
11/03/2025,134797A5,MP INT RECORTE MAGRO,6.7,REBANADOS
11/03/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,306.4,DESHUESE DE PERNIL
11/03/2025,134346C1,MAT PRIMA MILANESA LEÑA,17.424,VALOR AGREGADO
11/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
11/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,8.429,VALOR AGREGADO
11/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,1.317,VALOR AGREGADO
11/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,40.369,VALOR AGREGADO
11/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,276,AHUMADO
11/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,256,REBANADO AHUMADO
12/03/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,17.1,REBANADOS
12/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,61.3,REBANADOS
12/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,68,REBANADOS
12/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,59.6,REBANADOS
12/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,213.5,REBANADO AHUMADO
12/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,1035.5,AHUMADO
12/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,14,DESBARATADO DE CANALES
12/03/2025,134203I1,CUARTEO PALETA CON MANITA,85.704,DESBARATADO DE CANALES
12/03/2025,134367I1,CUARTEO PERNIL CON PATITA,22.694,DESBARATADO DE CANALES
12/03/2025,134401I1,CUARTEO PANCETA,0.254,DESBARATADO DE CANALES
12/03/2025,134325G3,PERNIL,34.398,DESHUESE DE PERNIL
12/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,44,VALOR AGREGADO
12/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.181,VALOR AGREGADO
13/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,112,VALOR AGREGADO
13/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.603,VALOR AGREGADO
13/03/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,18.6,DESHUESE DE PERNIL
13/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,147.5,REBANADO AHUMADO
13/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,20.2,REBANADOS
13/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,160.4,REBANADOS
13/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,53.4,REBANADOS
13/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,97.7,REBANADOS
13/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,180.7,AHUMADO
15/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,237.1,REBANADO AHUMADO
15/03/2025,134216C1,MAT PRIMA CUBICADA,32.283,VALOR AGREGADO
15/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.83,VALOR AGREGADO
15/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,1.237,VALOR AGREGADO
15/03/2025,134748C1,MAT PRIMA PUNTAS DE FILETE FINAS HIERBAS,5.8,VALOR AGREGADO
15/03/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,18.257,VALOR AGREGADO
15/03/2025,134805C1,MAT PRIMA RTE 80/20 HAMBURGUESA TOCINO,48.36,VALOR AGREGADO
15/03/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,36.4,VALOR AGREGADO
15/03/2025,134367I1,CUARTEO PERNIL CON PATITA,27.37,DESBARATADO DE CANALES
15/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,305.7,DESBARATADO DE CANALES
15/03/2025,134325G3,PERNIL,324.87,DESHUESE DE PERNIL
15/03/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,17.8,DESHUESE DE PERNIL
15/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,23.6,REBANADOS
15/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,59.2,REBANADOS
15/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,93,REBANADOS
15/03/2025,134798C1,MAT PRIMA RECORTE MAGRO,112.5,REBANADOS
15/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,940.9,AHUMADO
14/03/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,14.2,REBANADOS
14/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,129.6,REBANADOS
14/03/2025,134797A5,MP INT RECORTE MAGRO,15.9,REBANADOS
17/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,111.5,DESBARATADO DE CANALES
17/03/2025,134504I1,CUARTEO ENTRECOAT,0.003,DESBARATADO DE CANALES
17/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,117.4,REBANADO AHUMADO
17/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.312,VALOR AGREGADO
17/03/2025,139405C1,MAT PRIMA RTE 80/20 MOLIDA DE LONGANIZA,36.014,VALOR AGREGADO
17/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,337.1,AHUMADO
17/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,0.2,REBANADOS
17/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,29.1,REBANADOS
17/03/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,68.2,REBANADOS
17/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,72.7,REBANADOS
17/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,46.7,REBANADOS
17/03/2025,134325G3,PERNIL,6.7,DESHUESE DE PERNIL
17/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,338,AHUMADO
17/03/2025,134325G3,PERNIL,218.676,DESHUESE DE PERNIL
18/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,8.2,DESBARATADO DE CANALES
18/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,14.7,REBANADOS
18/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,89.7,REBANADOS
18/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,62.4,REBANADOS
18/03/2025,134797A5,MP INT RECORTE MAGRO,6.4,REBANADOS
18/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
18/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,2.218,VALOR AGREGADO
18/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,41.368,VALOR AGREGADO
18/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,176,REBANADO AHUMADO
18/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,359.6,AHUMADO
18/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,311.8,AHUMADO
19/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,27.4,DESBARATADO DE CANALES
19/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,15.9,REBANADOS
19/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,22.8,REBANADOS
19/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,134.5,REBANADOS
19/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,91.5,VALOR AGREGADO
19/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,1.952,VALOR AGREGADO
19/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,207.2,REBANADO AHUMADO
20/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,12.5,DESBARATADO DE CANALES
20/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,106,VALOR AGREGADO
20/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.759,VALOR AGREGADO
20/03/2025,134748C1,MAT PRIMA PUNTAS DE FILETE FINAS HIERBAS,12.85,VALOR AGREGADO
20/03/2025,134805C1,MAT PRIMA RTE 80/20 HAMBURGUESA TOCINO,11.672,VALOR AGREGADO
20/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,658.4,AHUMADO
20/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,131.3,REBANADO AHUMADO
20/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,61.9,REBANADOS
22/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.939,VALOR AGREGADO
22/03/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,7.181,VALOR AGREGADO
22/03/2025,134805C1,MAT PRIMA RTE 80/20 HAMBURGUESA TOCINO,9.562,VALOR AGREGADO
22/03/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,59.4,VALOR AGREGADO
22/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,209.4,REBANADO AHUMADO
22/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,209.4,REBANADO AHUMADO
22/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,878.7,AHUMADO
22/03/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,23.7,REBANADOS
22/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,48.9,REBANADOS
22/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,70.3,REBANADOS
22/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,1.1,REBANADOS
22/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,8.2,DESBARATADO DE CANALES
22/03/2025,134203I1,CUARTEO PALETA CON MANITA,6.383,DESBARATADO DE CANALES
22/03/2025,134367I1,CUARTEO PERNIL CON PATITA,0.139,DESBARATADO DE CANALES
22/03/2025,134325G3,PERNIL,269.54,DESHUESE DE PERNIL
24/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
24/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,105.9,REBANADO AHUMADO
24/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,291.2,AHUMADO
24/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,11.3,REBANADOS
24/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,42.3,REBANADOS
24/03/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,41.5,REBANADOS
24/03/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,12.4,REBANADOS
24/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,28.4,REBANADOS
24/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,60.9,REBANADOS
24/03/2025,134798C1,MAT PRIMA RECORTE MAGRO,13.9,REBANADOS
24/03/2025,134325G3,PERNIL,693.3,DESHUESE DE PERNIL
24/03/2025,134504I1,CUARTEO ENTRECOAT,238.142,DESBARATADO DE CANALES
24/03/2025,134605M1,MP UNTO,2.5,DESBARATADO DE CANALES
24/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,121.2,DESBARATADO DE CANALES
24/03/2025,134203I1,CUARTEO PALETA CON MANITA,45.01,DESBARATADO DE CANALES
24/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,7.1,DESBARATADO DE CANALES
24/03/2025,134203I1,CUARTEO PALETA CON MANITA,45.01,DESBARATADO DE CANALES
24/03/2025,134367I1,CUARTEO PERNIL CON PATITA,1.563,DESBARATADO DE CANALES
25/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
25/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,0.406,VALOR AGREGADO
25/03/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,2.712,VALOR AGREGADO
25/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,12.025,VALOR AGREGADO
25/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,23,REBANADOS
25/03/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,25.2,REBANADOS
25/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,48.2,REBANADOS
25/03/2025,134372G1,MAT PRIMA MILANESA TAQUERA,90.8,REBANADOS
25/03/2025,134797A5,MP INT RECORTE MAGRO,13.6,REBANADOS
25/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,185.9,AHUMADO
25/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,150.5,REBANADO AHUMADO
26/03/2025,134325G3,PERNIL,218,DESHUESE DE PERNIL
26/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,11.1,REBANADOS
26/03/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,95.2,REBANADOS
26/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
26/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.598,VALOR AGREGADO
26/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,623.201,AHUMADO
26/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,167.9,REBANADO AHUMADO
27/03/2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,302.2,DESHUESE DE PERNIL
27/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,435.398,AHUMADO
27/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,174.7,REBANADO AHUMADO
27/03/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,65,VALOR AGREGADO
27/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,4.296,VALOR AGREGADO
27/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,59.5,REBANADOS
27/03/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,9.4,REBANADOS
27/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,35.4,REBANADOS
27/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,12.3,REBANADOS
27/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,107.4,REBANADOS
27/03/2025,134798C1,MAT PRIMA RECORTE MAGRO,17.6,REBANADOS
28/03/2025,124536F3,MAT PRIMA PARA CHULETA REBANADA S,33.4,DESBARATADO DE CANALES
28/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,15.7,REBANADOS
28/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,73.3,REBANADOS
28/03/2025,134798C1,MAT PRIMA RECORTE MAGRO,2.4,REBANADOS
28/03/2025,133128J1,TRIPA CALIBRADA No. 34,0.129,VALOR AGREGADO
28/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,22.648,VALOR AGREGADO
28/03/2025,134805C1,MAT PRIMA RTE 80/20 HAMBURGUESA TOCINO,16.112,VALOR AGREGADO
28/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,12.757,VALOR AGREGADO
28/03/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,69.7,VALOR AGREGADO
28/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,338.102,AHUMADO
28/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,157.122,REBANADO AHUMADO
29/03/2025,133128J1,TRIPA CALIBRADA No. 34,0.576,VALOR AGREGADO
29/03/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,16.243,VALOR AGREGADO
29/03/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,43.895,VALOR AGREGADO
29/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,119.1,REBANADO AHUMADO
29/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,193.8,REBANADOS
29/03/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,37.7,REBANADOS
29/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,153.9,REBANADOS
31/03/2025,134346C1,MAT PRIMA MILANESA LEÑA,4.187,VALOR AGREGADO
31/03/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,3.279,VALOR AGREGADO
31/03/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,14.9,DESBARATADO DE CANALES
31/03/2025,124536F3,MAT PRIMA PARA CHULETA REBANADA S,12.1,DESBARATADO DE CANALES
31/03/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,8.2,REBANADOS
31/03/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,15.1,REBANADOS
31/03/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,113.5,REBANADOS
31/03/2025,134372G3,MAT PRIMA MILANESA TAQUERA,18.7,REBANADOS
31/03/2025,134372G5,MAT PRIMA MILANESA TAQUERA,54.9,REBANADOS
31/03/2025,134797A5,MP INT RECORTE MAGRO,41.1,REBANADOS
31/03/2025,134798C1,MAT PRIMA RECORTE MAGRO,0.9,REBANADOS
31/03/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,733,AHUMADO
31/03/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,172.5,REBANADO AHUMADO
01/04/2025,124536F3,MAT PRIMA PARA CHULETA REBANADA S,2.1,DESBARATADO DE CANALES
01/04/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,16.9,REBANADOS
01/04/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,113.3,REBANADOS
01/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,152.2,REBANADOS
01/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
01/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,0.824,VALOR AGREGADO
01/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,627.8,AHUMADO
01/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,165.6,REBANADO AHUMADO
01/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,182.9,AHUMADO
02/04/2025,133128J1,TRIPA CALIBRADA No. 34,16.041,VALOR AGREGADO
02/04/2025,133129J1,TRIPA CALIBRADA No. 36,1.577,VALOR AGREGADO
02/04/2025,134216C1,MAT PRIMA CUBICADA,11.267,VALOR AGREGADO
02/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
02/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,2.241,VALOR AGREGADO
02/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,187.5,REBANADO AHUMADO
02/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,455.9,AHUMADO
02/04/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,114.5,REBANADOS
02/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,304.4,REBANADOS
02/04/2025,134797A5,MP INT RECORTE MAGRO,2.8,REBANADOS
03/04/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,43.2,REBANADOS
03/04/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,0.9,REBANADOS
03/04/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,88.4,REBANADOS
03/04/2025,134797A5,MP INT RECORTE MAGRO,34.8,REBANADOS
03/04/2025,134798C1,MAT PRIMA RECORTE MAGRO,21.6,REBANADOS
03/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,70,VALOR AGREGADO
03/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.487,VALOR AGREGADO
03/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,315.2,AHUMADO
03/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,64.7,REBANADO AHUMADO
05/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,302.2,REBANADO AHUMADO
05/04/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,22,REBANADOS
05/04/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,14,REBANADOS
05/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,262,REBANADOS
05/04/2025,134798C1,MAT PRIMA RECORTE MAGRO,21.7,REBANADOS
05/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,1334,AHUMADO
05.04.2025,134325G5,MAT PRIMA PERNIL INTERPLANTAS,171.4,DESHUESE DE PERNIL
05/04/2025,124536F3,MAT PRIMA PARA CHULETA REBANADA S,118.6,DESBARATADO DE CANALES
04/04/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,43.3,DESBARATADO DE CANALES
05/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,175,VALOR AGREGADO
05/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,0.982,VALOR AGREGADO
05/04/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.262,VALOR AGREGADO
05/04/2025,134748C1,MAT PRIMA PUNTAS DE FILETE FINAS HIERBAS,5.9,VALOR AGREGADO
05/04/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,18.257,VALOR AGREGADO
05/04/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,45.95,VALOR AGREGADO
05/04/2025,134372G1,MAT PRIMA MILANESA TAQUERA,64.1,REBANADOS
07/04/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,0.8,DESBARATADO DE CANALES
07/04/2025,134358G3,MAT PRIMA MILANESA DE PIERNA,4.9,REBANADOS
07/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,81,REBANADOS
07/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,1.753,VALOR AGREGADO
07/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,165.6,REBANADO AHUMADO
07/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,638.1,AHUMADO
08/04/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,13.2,REBANADOS
08/04/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,25,REBANADOS
08/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,255.7,REBANADOS
08/04/2025,133129J1,TRIPA CALIBRADA No. 36,23.974,VALOR AGREGADO
08/04/2025,134346C1,MAT PRIMA MILANESA LEÑA,15.414,VALOR AGREGADO
08/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
08/04/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.019,VALOR AGREGADO
08/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,347.8,AHUMADO
08/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,133.3,REBANADO AHUMADO
09/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,107.7,REBANADO AHUMADO
09/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,517,AHUMADO
09/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,100,VALOR AGREGADO
09/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,2.042,VALOR AGREGADO
09/04/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,53.768,VALOR AGREGADO
09/04/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,38.65,VALOR AGREGADO
09/04/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,12.7,REBANADOS
09/04/2025,134358G1,MAT PRIMA MILANESA DE PIERNA,13.1,REBANADOS
09/04/2025,134372G1,MAT PRIMA MILANESA TAQUERA,84.9,REBANADOS
09/04/2025,134372G3,MAT PRIMA MILANESA TAQUERA,316.3,REBANADOS
09/04/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,0.5,DESBARATADO DE CANALES
09/04/2025,134325G3,PERNIL,0.006,DESHUESE DE PERNIL
10/04/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,1.627,VALOR AGREGADO
10/04/2025,139403C1,MAT PRIMA RTE 80/20 LONGANIZA,1.754,VALOR AGREGADO
10/04/2025,139407C5,MAT PRIMA RTE 80/20 LONGANIZA AHUMADA,29.95,VALOR AGREGADO
10/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,959,AHUMADO
10/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,212.7,REBANADO AHUMADO
10/04/2025,134281G5,MP INT CABEZA DE LOMO REJALADO,26.5,REBANADOS
10/04/2025,134358G5,MAT PRIMA MILANESA DE PIERNA,82.2,REBANADOS
10/04/2025,134372G5,MAT PRIMA MILANESA TAQUERA,144.5,REBANADOS
12/04/2025,134701G5,MP RECORTE 80-20 INTERPLANTAS,111,VALOR AGREGADO
12/04/2025,134706C1,MAT PRIMA RTE 80/20 PICADA,0.209,VALOR AGREGADO
12/04/2025,134713C1,MAT PRIMA RECORTE ESPECIAL,0.455,VALOR AGREGADO
12/04/2025,134748C1,MAT PRIMA PUNTAS DE FILETE FINAS HIERBAS,1.833,VALOR AGREGADO
12/04/2025,134804C1,MAT PRIMA RTE 80/20 HAMBURGUESA,10.201,VALOR AGREGADO
12/04/2025,134540C1,MAT PRIMA ENTRECOAT AHUMADO PARA REBANAR,275.5,REBANADO AHUMADO
12/04/2025,134549C1,MAT PRIMA ENTRECOAT INYECTADO PARA COCIM,1220.8,AHUMADO
12/04/2025,124331A1,MAT PRIMA CODILLO TRASERO TROCEADO,14.6,DESBARATADO DE CANALES
12/04/2025,134228C1,MAT PRIMA DE ESPALDILLA REJALADA,20.6,REBANADOS
12/04/2025,134281C1,MAT PRIMA DE CABEZA DE LOMO REJALADA,17.1,REBANADOS
12/04/2025,134372G1,MAT PRIMA MILANESA TAQUERA,387.8,REBANADOS
12/04/2025,134798C1,MAT PRIMA RECORTE MAGRO,19.2,REBANADOS
